Restaurant ID;Restaurant Name;Menu URL;Rating;Address;Latitude;Longitude
JE58956;Bar la Andaluza Al Sabor Catracho;https://www.just-eat.es/restaurants-bar-la-andaluza-al-sabor-catracho-28019/menu;60.0;Avenida de la Emperatriz Isabel, 10, 28019, Madrid;40.39844;-3.718001
JE59021;Byblos;https://www.just-eat.es/restaurants-byblos-madrid/menu;80.0;Corredera Baja de San Pablo, 4, 28004, Madrid;40.421627;-3.704713
JE59048;Beerhouse;https://www.just-eat.es/restaurants-beerhouse-majadahonda/menu;60.0;Calle Gran Vía, 5, 28220, Majadahonda;40.47346;-3.871993
JE59068;Bombon Boss - Plaza Río;https://www.just-eat.es/restaurants-bombon-boss-madrid/menu;100.0;Avenida del Manzanares, 210, 28026, Madrid;40.390877;-3.701421
JE59069;Bombon Boss - La Vaguada;https://www.just-eat.es/restaurants-bombon-boss-madrid-28029/menu;80.0;Avenida de Monforte de Lemos, 36, 28029, Madrid;40.479828;-3.706612
JE59074;La Esquina Peruana;https://www.just-eat.es/restaurants-la-esquina-peruana-madrid/menu;60.0;Calle de Manzanares, 2A, 28005, Madrid;40.413094;-3.717623
JE59099;Máster Tuk Tuk;https://www.just-eat.es/restaurants-master-tuk-tuk-ma/menu;;Calle de Alcalá, 167, 28009, Madrid;40.42634;-3.673039
JE59104;Ipanema De Quique - Pueblo Nuevo;https://www.just-eat.es/restaurants-ipanem-ade-quique-madrid/menu;;Calle Hermanos de Pablo, 16, 28027, Madrid;40.43625;-3.644958
JE59113;Ipanema De Quique-Suanzes;https://www.just-eat.es/restaurants-ipanema-de-quique-madrid/menu;80.0;Calle de Alcalá, 491, 28027, Madrid;40.440334;-3.630108
JE59116;La Pepenultima;https://www.just-eat.es/restaurants-la-pepenultima-madrid/menu;80.0;Plaza de Rogelio Enriquez, 9, 28048, Madrid;40.519222;-3.777183
JE59122;Ginos Almansa;https://www.just-eat.es/restaurants-ginos-almansa-madrid/menu;60.0;Calle de Almansa, 87, 28040, Madrid;40.44927;-3.71184
JE59147;Mini Market Ke-an;https://www.just-eat.es/restaurants-mini-market-ke-an-madrid/menu;;Calle de Tomás Bretón, 10, 28045, Madrid;40.39736;-3.695269
JE59179;La Casa Del Curry;https://www.just-eat.es/restaurants-la-casa-del-curry-madrid-28027/menu;;Calle de Telémaco, 8, 28027, Madrid;40.447666;-3.644562
JE59202;Kin Sushi;https://www.just-eat.es/restaurants-kin-sushi-madrid/menu;80.0;Calle del Duque de Sesto, 48, 28009, Madrid;40.422142;-3.673826
JE59217;El Esquinon Del Sabor;https://www.just-eat.es/restaurants-el-esquinon-del-sabor-madrid/menu;60.0;Calle Castillejos, 4, 28039, Madrid;40.456104;-3.705576
JE59255;Mini Market Las Delicias;https://www.just-eat.es/restaurants-mini-market-las-delicias-madrid/menu;;Paseo de las Delicias, 104, 28045, Madrid;40.396027;-3.694702
JE59264;Mini Market Gastronomía Infanta Mercedes;https://www.just-eat.es/restaurants-mini-market-gastronomia-infanta-mercedes-28020/menu;;Calle de la Infanta Mercedes, 56, 28020, Madrid;40.459343;-3.696661
JE59283;Pizzeria Piccolina;https://www.just-eat.es/restaurants-pizzeria-piccolina-madrid/menu;80.0;Calle de Santiago de Compostela, 28, 28034, Madrid;40.4841;-3.701094
JE59335;Telepizza Josefa Valcarcel;https://www.just-eat.es/restaurants-telepizza-josefa-valcarcel-madrid-28027/menu;80.0;Calle de Josefa Valcárcel, 8, 28027, Madrid;40.447884;-3.648502
JE59403;Cedrón, Milanesas y Vino;https://www.just-eat.es/restaurants-cedron-madrid/menu;;Calle del Almendro, 25, 28005, Madrid;40.412167;-3.710593
JE59420;King Villamanin;https://www.just-eat.es/restaurants-king-villamanin-madrid/menu;40.0;Calle de Villamanín, 34, 28011, Madrid;40.407978;-3.751027
JE59446;Mercado de Frescos & Vinos de la Tierra;https://www.just-eat.es/restaurants-bodega-garate-madrid/menu;;Calle Virgen de la Alegría, 10, local 122, 28027, Madrid;40.433186;-3.657016
JE59472;Kabalance;https://www.just-eat.es/restaurants-kabalance-madrid/menu;;Calle del Doce de Octubre, 28, 28009, Madrid;40.41596;-3.673886
JE59479;Empanadas Tita De Buenos Aires Goya;https://www.just-eat.es/restaurants-tita-de-buenos-aires-goya-madrid/menu;80.0;Calle de Alcalá, 118, 28009, Madrid;40.425987;-3.672721
JE59480;Agrado Café;https://www.just-eat.es/restaurants-agrado-cafe-madrid/menu;60.0;Calle de Embajadores, 14, 28012, Madrid;40.409977;-3.706482
